gsubind,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs
40201040,1.2654995726905722,1.2532132559111768,0.22771344993213033,0.22553600161170204,5.589889263360616,20770
50101010,1.3532044197612092,1.3337642552376907,0.2276391941850268,0.23590679139306528,6.051821147050829,73580
25302020,1.5074048948083263,1.4955870634914332,0.22724563865853709,0.22463392064872906,6.788091756678144,127206
25504060,1.3360071775634776,1.3234637847225927,0.22692195715906355,0.23130180849092088,5.968041567315563,56198
40102010,2.0313532137121673,1.9445090430706333,0.2264155533436166,0.21541528568483664,9.292782727299109,137836
20301010,1.619558774119158,1.5877225957258863,0.22324818318563114,0.21797407028363014,7.312915601023018,62560
25503030,1.5459636774606282,1.4038033453604895,0.22203433778131768,0.21873346349095862,6.989756474681098,82784
50101020,1.513801299333374,1.5152159748174905,0.22090718731080652,0.21931577296635224,6.905885701556815,80806
20304030,2.535761383764459,2.3974807161658207,0.21991053354080925,0.21487618960981847,11.464015904572564,150900
20202030,1.4188776198608042,1.394296150919927,0.2197440547164423,0.2201713776066317,6.619379873885303,53602
40101010,1.860486997878495,1.780800690097156,0.2193951419209941,0.211196972109981,8.507413850231941,72432
15103010,1.4721632211549067,1.4372016737988809,0.21692396759820146,0.21348857973796503,6.8701996212474,64422
15103020,1.6139307148679842,1.571601415126223,0.21407047826006328,0.20550073245797065,7.612450298210735,96576
35102030,1.858580197390174,1.7932250624664456,0.20840780781131296,0.20746397019485827,9.035921226515354,108209
40203040,1.9293346542461123,1.9355843356318732,0.20774426597596563,0.2003697794265203,9.27531837477259,79152
20201070,1.4016225808622935,1.3864201380152927,0.20599756691518895,0.2032865449626841,6.935498523733818,79254
25504050,2.603701035041432,2.7005945430296743,0.2057700236689516,0.2047168507935485,12.612467695094983,150132
45203030,1.8294586096735213,1.8063338082347675,0.20043697475511196,0.19553163106182062,9.262860337972167,96576
30101030,1.6807312141150326,1.6233143655412654,0.1991041755668132,0.19482914362597736,8.68523640764111,138828
50202010,1.595639078916498,1.4400747475231168,0.19757707782338582,0.18689197427330007,8.34663620969449,113384
30301010,1.4859306773700405,1.465866846315471,0.19717520592325044,0.19417315933064233,7.782554671968191,84504
45102030,1.743479719016372,1.656018380549165,0.19240255533563907,0.18867995933172993,9.432418233741043,74236
60107010,2.961524306521841,2.079137237843445,0.1919683710748638,0.17654077037662275,14.775964900253651,175044
35102020,2.2131397829178807,2.11018593341614,0.18939761989946366,0.18033572760275093,11.89546215361726,215080
15101010,1.593675638796127,1.5303610910705725,0.18846499666740324,0.1822869510269777,8.695488283178216,111421
60101010,1.6440730721344787,1.550088279606598,0.1862981671431387,0.18087931357096454,8.94058649662914,60222
