naics,mean_eigenvalue,median_eigenvalue,mean_var_explained,median_var_explained,mean_peers,n_obs,naics_name
621910,1.0606436099907808,1.0467438375469293,0.5282173533882658,0.5212950460799192,2.0,737,Ambulance Services
336991,1.094794094107216,1.0927439978881948,0.5279190883922172,0.5347053278409484,2.09168840849795,5366,"Motorcycle, Bicycle, and Parts Manufacturing"
327390,1.0595409642296207,1.0473723069273078,0.5276682182968945,0.5216080338070521,2.0,1608,Other Concrete Product Manufacturing
334517,1.060670239636784,1.0525677385763976,0.5275357551111696,0.5240686704842875,2.0038297872340425,18800,Irradiation Apparatus Manufacturing
423420,1.058743405518168,1.0501953520046055,0.5272710213989289,0.5230139550657855,2.0,2652,Office Equipment Merchant Wholesalers
333912,1.0584542426426797,1.0438484172735567,0.5271270136970488,0.5198530808247275,2.0,1069,Air and Gas Compressor Manufacturing
33299,1.0584194186631757,1.061580085832218,0.5271096708024943,0.5286837332219974,2.0,1804,Unknown
523,1.0577583868494185,1.0506331670935973,0.5267804664666748,0.5232319939295493,2.0,2389,Unknown
333316,1.0575389939262223,1.0529438493869978,0.5266712053084956,0.5243827503891595,2.0,1106,Unknown
322220,1.057496002044213,1.0527335701939804,0.5266497946688441,0.524278028013272,2.0,5626,Paper Bag and Coated and Treated Paper Manufacturing
452990,1.107785631511652,1.1120064522548065,0.5260929504915138,0.5414653210961136,2.1345895020188426,7430,Unknown
3364,1.0556856402473638,1.0469802049115837,0.5257482057581117,0.5214127607793799,2.0,11602,Unknown
311920,1.0556070732007723,1.0487701981445388,0.5257090781218132,0.5223042058219827,2.0,4180,Coffee and Tea Manufacturing
452111,1.0996801274971124,1.0879689037419995,0.5255206046843858,0.5343360727015753,2.1106508875739647,6760,Unknown
335931,1.0545493242373956,1.0437953466875078,0.5251823023483856,0.519826650830485,2.0,48,Current-Carrying Wiring Device Manufacturing
424690,1.0545250493799991,1.0376405411956875,0.5251702130840868,0.5167614600002333,2.0,3875,Other Chemical and Allied Products Merchant Wholesalers
238,1.0900296497843307,1.0638303058985112,0.5246445239966862,0.5264320971951708,2.102773246329527,1226,Unknown
332994,1.29840149401236,1.2291805620843317,0.524550238222529,0.527014946197422,2.5528950805398347,6891,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
336350,1.0659994940703532,1.0494936590934445,0.5242669872239271,0.5210690577312672,2.03288740245262,7176,Motor Vehicle Transmission and Power Train Parts Manufacturing
484230,1.0523980771013497,1.049749510561597,0.5241109471278547,0.5227919189503192,2.0,995,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
335932,1.0522950567972642,1.0365138157924383,0.5240596413811772,0.516200332864885,2.0,1802,Noncurrent-Carrying Wiring Device Manufacturing
335921,1.0522641128101669,1.0416442306928424,0.5240442307844284,0.5187553609204434,2.0,4048,Fiber Optic Cable Manufacturing
332722,1.051400342164235,1.0445009875200633,0.5236140592921091,0.520178071165746,2.0,612,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
4481,1.049522297227075,1.0380932635286668,0.5226787631031663,0.5169869229081256,2.0,700,Unknown
333318,1.0738089342635386,1.0619690874144019,0.5221304896209084,0.5264336802898278,2.0673649131159246,8402,Unknown
513120,1.0869859813492329,1.0645302634044276,0.5220250727186958,0.5256773232745582,2.106125300830681,25762,Periodical Publishers
449129,1.0481738532751772,1.0432904811414774,0.5220072166112489,0.5195752197748229,2.0,4696,All Other Home Furnishings Retailers
331221,1.0471710147471096,1.0337445818141062,0.5215077871061994,0.5148212103875808,2.0,402,Rolled Steel Shape Manufacturing
541710,1.0468185577052855,1.0481974121181774,0.5213322579048147,0.522018949289013,2.0,1078,Unknown
334418,1.0470031890316516,1.0404474344238481,0.5211694431555344,0.5181122362797033,2.0012459765341086,9631,Printed Circuit Assembly (Electronic Assembly) Manufacturing
561210,1.0464286182251352,1.0409920636874466,0.5211380618541844,0.5184305713998989,2.0,2328,Facilities Support Services
333319,1.0442559344524456,1.0297749420795235,0.5200560308483411,0.512844266789604,2.0,249,Unknown
541612,1.0431553813556111,1.0338305240625996,0.5195079379370207,0.5148640109914933,2.0,1008,Human Resources Consulting Services
311111,1.043068224594747,1.0288384131130712,0.5194645324866696,0.5123778604987717,2.0,748,Dog and Cat Food Manufacturing
